cleaned_up_drug	class_umls
GSK2110183	
GSK2110183	
GSK2110183	
GSK2110183	
ApatinibMesylate	
ApatinibMesylate	
AutologousCAR-T	
IMAB362	
Zoledronic	
Afuresertib	
AfuresertibHPMC	
Afuresertib	
Afuresertib	
AfuresertibHPMC	
Afuresertib	
HPV-16vaccine	
LY3214996	
AllogeneicAutologousTumor	
Binimetinib	Protein kinase inhibitors|Protein Kinase Inhibitors|ANTINEOPLASTIC,OTHER
Encorafenib	Protein kinase inhibitors|ANTINEOPLASTIC,OTHER|BRAF Serine/Threonine Kinase Inhibitors
VEGFR/PDGFRKinaseInhibitorX-82	
DurvalumabTremelimumabmetronomicVinorelbine	
GSK2256098	
GSK2256098	
GSK2256098	
GSK2256098	
MEDI6469	
MEDI6469	
TLPLDCVaccine	
BPX-601	
Rimiducid	
RAD001Sunitinib	
RegorafenibBAY73-4506rifampin	
INT230-6	
anti-PD-1	
anti-PD-1antibody	
AVID100	
EVRIBMS-690514	
Rivogenlecleucel	
Rimiducid	
CD33-CAR-T	
dinaciclib	
dinaciclib	
brentuximabvedotin	
Escalation	
MK-8628	
MK-8628	
Pemetrexed	Protein Synthesis Inhibitors|Thymidylate Synthetase Inhibitors|Dihydrofolate Reductase Inhibitors|Folic Acid Metabolism Inhibitors|ANTINEOPLASTICS,ANTIMETABOLITES|Folate Analog Metabolic Inhibitor|Folic acid analogues
AxitinibAG-013736	
IMP4297	
Perifosine	
Perifosine	
Perifosine	
Perifosine	
Perifosine	
Perifosine	
BGB-3111	
BGB-A317	
AVI-4126RESTEN-NG®	
INCB039110	
INCB039110	
INCB039110	
NiCord®	
ZevalinRadioimmunotherapy	
NiraparibCabozantinib	
TQB3456	
D-0502	
Fluzoparib	
Osimertinib	Protein kinase inhibitors|ANTINEOPLASTIC,OTHER|Cytochrome P450 3A Inhibitors|Breast Cancer Resistance Protein Inhibitors|Cytochrome P450 1A2 Inducers|Kinase Inhibitor|Cytochrome P450 3A4 Inducers|Kinase Inhibitors
bendamustinehydrochloride	
AGS-16M8F	
BPI-9016M	
RO5126766	
RO5126766	
VS-6063	
Pimodivir	
BMS-986205	
BMS-986205	
SCB-313	
bevacizumabeverolimuspanitumumab	
Moxifloxacin	Quinolone Antimicrobial|DNA Gyrase Inhibitors|ANTIBACTERIALS,TOPICAL OPHTHALMIC|Fluoroquinolones|Topoisomerase 4 Inhibitors|QUINOLONES
GDC-0810	
GDC-0810	
Gynoflor	
EGFRt/19-28z/4-1BBL	
Casopitant/Docetaxel	
selumetinib	
selumetinib	
Selumetinib	
Moxifloxacin	Quinolone Antimicrobial|DNA Gyrase Inhibitors|ANTIBACTERIALS,TOPICAL OPHTHALMIC|Fluoroquinolones|Topoisomerase 4 Inhibitors|QUINOLONES
selumetinib	
11C-JNJ-63779586	
selumetinib	
selumetinib	
hLL1	
Mycophenolatemofetil	
Sulforadex	
alpha-cyclodextrin	
alpha-cyclodextrin	
ganetespib	
PazopanibTH-302	
Eribulinmesylate	
Eribulinmesylate	
HSPPC-96	
Itacitinib	
Calcineurininhibitor	
ABT-869	
ABT-869	
GL-ONC1	
IrinotecanCamptosarGefitinibIressa	
A317	
VTX-2337	
VTX-2337	
V212	
APG-1252	
OsimertinibMesylate	
Moxifloxacin	Quinolone Antimicrobial|DNA Gyrase Inhibitors|ANTIBACTERIALS,TOPICAL OPHTHALMIC|Fluoroquinolones|Topoisomerase 4 Inhibitors|QUINOLONES
Durvalumab	ANTINEOPLASTIC,OTHER|Programmed Death Ligand-1-directed Antibody Interactions|Monoclonal antibodies|Programmed Death Ligand-1 Antagonists|Programmed Death Ligand-1 Blocker
NKR-2	
LXH254	
LXH254	
LXH254	
LXH254	
INC280	
INC280	
INC280	
INC280	
INC280	
EpoetinAlfa	
Durvalumab	ANTINEOPLASTIC,OTHER|Programmed Death Ligand-1-directed Antibody Interactions|Monoclonal antibodies|Programmed Death Ligand-1 Antagonists|Programmed Death Ligand-1 Blocker
NBTXR3	
SAR442085	
indibulin	
indibulin	
Heptapeptide	
IMCnyeso	
VK-2019	
TLR9SD-101	
Oraxol	
ipatasertib	
Tazemetostat	
Tazemetostat	
TG4050	
PRI-724	
PRI-724	
ModraDoc006/r	
ACY-1215pomalidomidedexamethasone	
GSK2857916	
AZD5363	
AZD5363	
AZD5363	
fluphenazinehydrochloride	
SNS-062	
Enzalutamide	ANTINEOPLASTIC,OTHER|Cytochrome P450 2C9 Inducers|Anti-androgens|Cytochrome P450 2C19 Inducers|Androgen Receptor Antagonists|Cytochrome P450 3A4 Inducers|Androgen Receptor Inhibitor
Pazopanib	Protein kinase inhibitors|ANTINEOPLASTIC,OTHER|Vascular Endothelial Growth Factor Receptor Inhibitors|Cytochrome P450 2C8 Inhibitors|Platelet-derived Growth Factor Receptor Inhibitors|Cytochrome P450 2D6 Inhibitors|Protein Kinase Inhibitors|Kinase Inhibitor|Cytochrome P450 3A4 Inhibitors
DoxorubicinHydrochloride	
icotinib	
icotinib	
icotinib	
CopanlisibBAY80-6946	
SPARC147609	
Reference147609	
hMN14labetuzumab	
AZD5069	
AZD5069	
AZD5069	
AZD5069	
AZD5069	
AZD6738	
AZD6738	
AZD6738	
AZD6738	
PHY906	
PHY906	
Erdafitinib	ANTINEOPLASTIC,OTHER
Erdafitinib	ANTINEOPLASTIC,OTHER
Cetrelimab	
Cetrelimab	
ONC201	
ONC201	
ONC201	
AutologousCD123CAR-CD28-CD3zeta-EGFRt-expressingLymphocytes	
CD123CAR-CD28-CD3zeta-EGFRt-expressing	
GW786034	
GW786034	
GW786034	
GW786034	
GW786034	
GW786034	
Pemetrexed	Protein Synthesis Inhibitors|Thymidylate Synthetase Inhibitors|Dihydrofolate Reductase Inhibitors|Folic Acid Metabolism Inhibitors|ANTINEOPLASTICS,ANTIMETABOLITES|Folate Analog Metabolic Inhibitor|Folic acid analogues
PEG20	
Sulforadex	
cyclodextrin	
Olaparib	Other antineoplastic agents|Poly(ADP-Ribose) Polymerase Inhibitors|ANTINEOPLASTICS,ANTIMETABOLITES|Poly(ADP-Ribose) Polymerase Inhibitor
POL6326	
CUE-101	
albuminsEphB4-HSA	
AutologouschimericantigenCD22	
Selinexor	
olaparib	Other antineoplastic agents|Poly(ADP-Ribose) Polymerase Inhibitors|ANTINEOPLASTICS,ANTIMETABOLITES|Poly(ADP-Ribose) Polymerase Inhibitor
TG60025-flucytosine5-FCAncotil®	
IRX-2	
IRX-2	
Lymfactin®	
Lymfactin®	
gluconate	
IMC-C103C	
gilteritinib	ANTINEOPLASTIC,OTHER
avelumab	ANTINEOPLASTIC,OTHER|Programmed Death Ligand-1-directed Antibody Interactions|Monoclonal antibodies|Programmed Death Ligand-1 Antagonists|Programmed Death Ligand-1 Blocker
Lovaza	ANTILIPEMIC AGENTS
Lovaza	ANTILIPEMIC AGENTS
ALT-803	
ALT-803	
ETBX-011	
ETBX-021	
ETBX-051	
ETBX-061	
GI-4000	
GI-4000	
GI-6207	
GI-6301	
haNK	
ClostridiumNovyi-NT	
AutologousCD19-targeting	
ET140202autologous	
GNS561	
VX15/2503avelumab	
Selumetinib	
Pemetrexed	Protein Synthesis Inhibitors|Thymidylate Synthetase Inhibitors|Dihydrofolate Reductase Inhibitors|Folic Acid Metabolism Inhibitors|ANTINEOPLASTICS,ANTIMETABOLITES|Folate Analog Metabolic Inhibitor|Folic acid analogues
AutologousCAR-T	
NeoVax	
MB-CART19.1	
RamucirumabIMC-1121B	
levofolinate	
5-Fluorouracil5-FU	
Monalizumab	
CZ48	
CZ48	
CZ48	
MAK683	
ADXS11-001	
ADXS11-001	
trioxide	
MK-4280	
Avelumab	ANTINEOPLASTIC,OTHER|Programmed Death Ligand-1-directed Antibody Interactions|Monoclonal antibodies|Programmed Death Ligand-1 Antagonists|Programmed Death Ligand-1 Blocker
ZN-e4	
Durvalumab	ANTINEOPLASTIC,OTHER|Programmed Death Ligand-1-directed Antibody Interactions|Monoclonal antibodies|Programmed Death Ligand-1 Antagonists|Programmed Death Ligand-1 Blocker
CAR-T	
Durvalumab	ANTINEOPLASTIC,OTHER|Programmed Death Ligand-1-directed Antibody Interactions|Monoclonal antibodies|Programmed Death Ligand-1 Antagonists|Programmed Death Ligand-1 Blocker
Ublituximab	
Ublituximab	
CAR-T	
Radium-223dichlorideXofigo	
RO6958688	
RO6958688	
RO6958688	
RO6958688	
CPI-444	
Pemetrexed	Protein Synthesis Inhibitors|Thymidylate Synthetase Inhibitors|Dihydrofolate Reductase Inhibitors|Folic Acid Metabolism Inhibitors|ANTINEOPLASTICS,ANTIMETABOLITES|Folate Analog Metabolic Inhibitor|Folic acid analogues
Tocilizumab	Interleukin-6 Receptor Antagonist|Interleukin inhibitors|Interleukin 6 Receptor Antagonists|ANTIRHEUMATICS,OTHER
Tocilizumab	Interleukin-6 Receptor Antagonist|Interleukin inhibitors|Interleukin 6 Receptor Antagonists|ANTIRHEUMATICS,OTHER
Ipatasertib	
Idasanutlin	
TQ-B3525	
ASK120067	
Ublituximab	
Ublituximab	
CyclophosphamideZYC300ZYC300cyclophosphamidepre-dosing	
GTI-2040	
GTI-2040	
GTI-2040	
R-enantiomer1,2-dioleoyl-3-trimethylammonium-propanePeptidesHPV-16	
zolinza/vorinostat	
Tefinostat	
Pazopanib	Protein kinase inhibitors|ANTINEOPLASTIC,OTHER|Vascular Endothelial Growth Factor Receptor Inhibitors|Cytochrome P450 2C8 Inhibitors|Platelet-derived Growth Factor Receptor Inhibitors|Cytochrome P450 2D6 Inhibitors|Protein Kinase Inhibitors|Kinase Inhibitor|Cytochrome P450 3A4 Inhibitors
Moxifloxacin	Quinolone Antimicrobial|DNA Gyrase Inhibitors|ANTIBACTERIALS,TOPICAL OPHTHALMIC|Fluoroquinolones|Topoisomerase 4 Inhibitors|QUINOLONES
L19-IL2	
L19-IL2	
177Lu-DOTA-tyr3-OCTREOTATE	Various therapeutic radiopharmaceuticals|Somatostatin Receptor Agonists
liposomaldoxorubicindocetaxel	
chemotherapy	
Herceptin®	
CPI-0610	
SGN-30antibody	
Cabazitaxel	Tubulin Interactions|Microtubule Inhibitor|ANTINEOPLASTIC,OTHER|Taxanes
methotrexatehydrocortisonecytarabineleucovorin	
TLK286docetaxel	
KHK2455	
Avelumab	ANTINEOPLASTIC,OTHER|Programmed Death Ligand-1-directed Antibody Interactions|Monoclonal antibodies|Programmed Death Ligand-1 Antagonists|Programmed Death Ligand-1 Blocker
Flt3L	
CT-P6	
LiposomalIrinotecan	
Avelumab	ANTINEOPLASTIC,OTHER|Programmed Death Ligand-1-directed Antibody Interactions|Monoclonal antibodies|Programmed Death Ligand-1 Antagonists|Programmed Death Ligand-1 Blocker
PDC-1421	
CVA21	
MK-7252	
AAV2hAQP1	
monotherapy	
Guadecitabine	
NiCord®	
Osimertinib	Protein kinase inhibitors|ANTINEOPLASTIC,OTHER|Cytochrome P450 3A Inhibitors|Breast Cancer Resistance Protein Inhibitors|Cytochrome P450 1A2 Inducers|Kinase Inhibitor|Cytochrome P450 3A4 Inducers|Kinase Inhibitors
FF-10501-01	
acalabrutinib	Kinase Inhibitor|Tyrosine Kinase Inhibitors|ANTINEOPLASTIC,OTHER
acalabrutinib	Kinase Inhibitor|Tyrosine Kinase Inhibitors|ANTINEOPLASTIC,OTHER
vistusertib	
HDM201	
HDM201	
HDM201	
VaccineGM-CSF	
TJ107	
AbraxaneVandetanib	
Abraxanevandetanib	
FGF401	
PDR001	
PDR001	
PDR001	
PDR001	
BosutinibSKI-606	
MGD007	
F-627	
GIC-1001	
GIC-1001	
GIC-1001	
GIC-1001	
GIC-1002equimolarGIC-1001	
GIC-1002equimolarGIC-1001	
quadrivalentpapillomavirusvaccine	
polymerase	
NEO-PV-01	
APX005M	
APX005M	
APX005M	
CT053PTSA	
MLN0128	
MLN0128	
MLN0128	
MLN0128RP2D	
EPZ-5676	
EPZ-5676	
CPI-0610	
TAEST16001	
OctavalentAAHS	
OctavalentAAHS	
OctavalentAAHS	
OctavalentAAHS	
Comparator	
TRC105	
Pazopanib	Protein kinase inhibitors|ANTINEOPLASTIC,OTHER|Vascular Endothelial Growth Factor Receptor Inhibitors|Cytochrome P450 2C8 Inhibitors|Platelet-derived Growth Factor Receptor Inhibitors|Cytochrome P450 2D6 Inhibitors|Protein Kinase Inhibitors|Kinase Inhibitor|Cytochrome P450 3A4 Inhibitors
ACTINIUM-225-LABELEDHUMANIZEDANTI-CD33ANTIBODYHuM195	
Adenoviral-mediatedInterferon-beta	
DC/tumorvaccine	
Guadecitabine	
APN201	
SunitinibMalate	
PF-05082566	
Sitravatinib	
Sitravatinib	
SitravatinibTislelizumab	
Sitravatinibtislelizumab	
TAK-385	
TAK-385	
BKM120	
BKM120	
AGS-003	
L19TNF	
AntibodyHu3F8	
Abemaciclib	Protein kinase inhibitors|Kinase Inhibitor|ANTINEOPLASTIC,OTHER|Kinase Inhibitors
Pemetrexed	Protein Synthesis Inhibitors|Thymidylate Synthetase Inhibitors|Dihydrofolate Reductase Inhibitors|Folic Acid Metabolism Inhibitors|ANTINEOPLASTICS,ANTIMETABOLITES|Folate Analog Metabolic Inhibitor|Folic acid analogues
LY3023414	
LY3023414	
LY3023414	
Clofarabine/Busulfan	
AllogeneicMPBC	
NKTR-214	
CDX-301	
INO-5151	
Film-CoatedSandozInc.	
Film-CoatedCasodexAstrazeneca	
Film-CoatedCasodexAstrazeneca	
Film-CoatedSandozInc.	
ONC201	
ONC201	
ONC201	
ONC201	
ONC201	
ONC201	
ONC201	
ONC201	
ONC201	
ONC201	
ONC201	
ONC201	
ONC201	
ONC201	
ONC201	
Quizartinib	
Intrathecalchemotherapyprophylaxis	
PHY906	
PHY906	
GC33RO5137382	
AdV-tkvalacyclovir	
TalimogenelaherparepvecTVEC	
Electrofusionvaccine	
intratumoralDNX-2401	
Durvalumab	ANTINEOPLASTIC,OTHER|Programmed Death Ligand-1-directed Antibody Interactions|Monoclonal antibodies|Programmed Death Ligand-1 Antagonists|Programmed Death Ligand-1 Blocker
Calmette-Guérin	
APR-246	
APR-246	
APR-246	
APR-246	
GEN-009AdjuvantedVaccine	
DT01	
CX5461	
CX5461	
CX5461	
CX5461	
Cisplatincelecoxibvaccine	
CisplatinCelecoxibVaccine	
Pemetrexed	Protein Synthesis Inhibitors|Thymidylate Synthetase Inhibitors|Dihydrofolate Reductase Inhibitors|Folic Acid Metabolism Inhibitors|ANTINEOPLASTICS,ANTIMETABOLITES|Folate Analog Metabolic Inhibitor|Folic acid analogues
9-valentVaccine	
H3B-6527	
H3B-6527	
H3B-6527	
Sorafenib50-mg	
Sorafenib50-mg	
Sorafenib50-mg	
Sorafenib200-mg	
TBI-1301	
TBI-1201	
PazopanibHydrochloride	
NanoDoce	
NanoDoceintravesical	
NanoDoceintravesical	
IL13-PE38QQR	
IL13-PE38QQR	
Temozolomidetherapy	
Toca	
Anti-AXLProteinAVB-S6-500	
Durvalumab	ANTINEOPLASTIC,OTHER|Programmed Death Ligand-1-directed Antibody Interactions|Monoclonal antibodies|Programmed Death Ligand-1 Antagonists|Programmed Death Ligand-1 Blocker
ASN-002	
F16IL2	
Toca	
Tivozanib	
AZD9150	
AZD9150	
AZD9150	
Lirilumab	
GSK461364	
GSK461364	
GSK461364	
GSK461364	
GSK461364	
EndoxanaLeukineIMA910	
EndoxanaLeukineIMA910Aldara	
anti-tumornecrosisantibody	
RRx-001WBRT	
brentuximabvedotin	
temsirolimus	Protein kinase inhibitors|ANTINEOPLASTIC,OTHER|mTOR Inhibitors|Protein Kinase Inhibitors|Kinase Inhibitor
temsirolimus	Protein kinase inhibitors|ANTINEOPLASTIC,OTHER|mTOR Inhibitors|Protein Kinase Inhibitors|Kinase Inhibitor
Pazopanib	Protein kinase inhibitors|ANTINEOPLASTIC,OTHER|Vascular Endothelial Growth Factor Receptor Inhibitors|Cytochrome P450 2C8 Inhibitors|Platelet-derived Growth Factor Receptor Inhibitors|Cytochrome P450 2D6 Inhibitors|Protein Kinase Inhibitors|Kinase Inhibitor|Cytochrome P450 3A4 Inhibitors
Patritumab	
Dendritic	
INC280	
INC280	
INC280	
INC280	
INC280	
Milademetan	
Anti-LAG-3Antibody	
Anti-PD-1	
Anti-CD137	
FT516	
ADI-PEG	
FOLFOX4	
LY2157299	
LY2157299	
LY2157299	
MCY-M11	
vaccine	
ALECSATimmunotherapy	
granisetrontransdermal	
calciumleucovorin	
RBL001/RBL002	
Combig-DCallogeneicdendriticVaccine	
GC33	
Brivanib	
Brivanib	
STA-9090	
STA-9090	
BBI608	
Pemetrexed	Protein Synthesis Inhibitors|Thymidylate Synthetase Inhibitors|Dihydrofolate Reductase Inhibitors|Folic Acid Metabolism Inhibitors|ANTINEOPLASTICS,ANTIMETABOLITES|Folate Analog Metabolic Inhibitor|Folic acid analogues
Complex-targetingCuraxinCBL0137	
IPI-145	
VAL-083Dianhydrogalactitol	
CAR2Anti-CEACAR-T	
perifosinetemsirolimus	
ZD6474vandetanib	
exatecanmesylate	
pazopanibhydrochloride	
MotexafinGadolinium	
tabelecleucel	
anti-CEACAR-T	
TTI-622Monotherapy	
TTI-622Rituximab	
TTI-622PD-1Inhibitor	
TTI-622Proteasome-inhibitorRegimen	
mg/m2RRituximab	
Cirmtuzumab	
Cirmtuzumab	
Cirmtuzumab	
Cirmtuzumabibrutinib	
Darbepoetinalfa	
Anti-PD-1DC-CIK	
Anti-PD-1	
ABI-1968	
G207oncolytic	
TNB-383B	
BYL719	
BYL719	
BYL719	
BYL719	
ACTR087	
SEA-BCMA	
RuxolitinibJakafi	
anti-CD19anti-CD20BispecificCAR-T	
Cabozantinib	Protein kinase inhibitors|Tyrosine Kinase Inhibitors|ANTINEOPLASTIC,OTHER|Protein Kinase Inhibitors|Kinase Inhibitor
Cabozantinib	Protein kinase inhibitors|Tyrosine Kinase Inhibitors|ANTINEOPLASTIC,OTHER|Protein Kinase Inhibitors|Kinase Inhibitor
bb2121	
Anti-CD19-CAR	
Anti-CD19-CAR	
EverolimusIntravesicalGemcitabine	
marizomib	
low-dosedexamethasone	
NANT-008	
FluorouracilInjectable	
AvastinInjectable	
LeucovorinCalcium	
EloxatinInjectable	
Atu027gemcitabine	
Atu027gemcitabine	
Atu027gemcitabine	
AV-MEL-1	
CarotuximabTRC105	
Carfilzomib	Proteasome Inhibitors|Other antineoplastic agents|Proteasome Inhibitor|ANTINEOPLASTIC,OTHER
Carfilzomib	Proteasome Inhibitors|Other antineoplastic agents|Proteasome Inhibitor|ANTINEOPLASTIC,OTHER
ElotuzumabBMS-901608HuLuc63	
gemcitabineoxaliplatincapecitabine	
SOR007NanoparticlePaclitaxel	
FCN-159	
BT062	
Aurixim	
LY2127399	
LY2127399	
LY2127399	
REGN2810	
REGN2810	
REGN2810	
REGN1979	
SGN-40	
SPH1188-11	
SGN-40	
ADCT-402	
ADCT-402	
SGN-40anti-huCD40	
PTC299	
PTC299	
GSK2110183	
GSK2110183	
NeoAntigenVaccine	
Binimetinib	Protein kinase inhibitors|Protein Kinase Inhibitors|ANTINEOPLASTIC,OTHER
Pemetrexed	Protein Synthesis Inhibitors|Thymidylate Synthetase Inhibitors|Dihydrofolate Reductase Inhibitors|Folic Acid Metabolism Inhibitors|ANTINEOPLASTICS,ANTIMETABOLITES|Folate Analog Metabolic Inhibitor|Folic acid analogues
GW786034pazopanib	
TAK-079	
ALT-803	
ALT-803	
Vorinostst/Bevacizumab/Temozolomide	
rhIL-2	
PNK-007	
IPI-504	
IPI-504	
anti-CEACAR-T	
MPH966	
YPEG-Filgrastim	
AZD6738	
AZD6738	
AZD6738	
AZD6738	
ABI-1968	
STA-9090ganetespib	
ABI-1968	
MP-470topotecan	
MP-470docetaxel	
MP-470erlotinib	
MP-470paclitaxel/carboplatin	
MP-470carboplatin/etoposide	
Guselkumab	Interleukin-23 Antagonist|Antibody-Receptor Interactions|Interleukin-23 Antagonists|IMMUNE SUPPRESSANTS|Interleukin inhibitors
LTX-315	
LTX-315	
LTX-315	
AxuminIntravenous	
Radspherin	
CVA21	
E6201	
E6201	
E6201	
PembrolizumabKeytruda	
BAY1841788ODM-201	
Gilteritinib	ANTINEOPLASTIC,OTHER
BortezomibVelcade	
LXS196	
LXS196HDM201	
pazopanibhydrochloride	
Perifosine	
Perifosine	
Temsirolimus	Protein kinase inhibitors|ANTINEOPLASTIC,OTHER|mTOR Inhibitors|Protein Kinase Inhibitors|Kinase Inhibitor
Temsirolimus	Protein kinase inhibitors|ANTINEOPLASTIC,OTHER|mTOR Inhibitors|Protein Kinase Inhibitors|Kinase Inhibitor
KW-2478	
KW-2478	
KW-2478	
KW-2478	
BIWA	
AEB071	
CD4CAR	
Enzalutamide	ANTINEOPLASTIC,OTHER|Cytochrome P450 2C9 Inducers|Anti-androgens|Cytochrome P450 2C19 Inducers|Androgen Receptor Antagonists|Cytochrome P450 3A4 Inducers|Androgen Receptor Inhibitor
Taselisib	
CyclophosphamideFludarabine	
Anti-NY-ESO-1	
P276-00	
P276-00	
P276-00	
P276-00	
P276-00	
P276-00	
Temferon	
GM-CSFGM-CSFJX-594	
PD-0325901	
PD-0325901	
PD-0325901	
PD-0325901	
Binimetinib	Protein kinase inhibitors|Protein Kinase Inhibitors|ANTINEOPLASTIC,OTHER
PF-00299804	
Durvalumab	ANTINEOPLASTIC,OTHER|Programmed Death Ligand-1-directed Antibody Interactions|Monoclonal antibodies|Programmed Death Ligand-1 Antagonists|Programmed Death Ligand-1 Blocker
isatuximabSAR650984	
CC-99712	
TAK-169	
BCMA	
Descartes-11	
CT053	
Measles	
MeaslesLumbar	
GSK2857916	
IsatuximabSAR650984	
HG146	
FOR46	
Bisthianostat	
SEA-BCMA	
EscalationMEDI2228antibody	
MEDI2228antibody	
CC-93269	
CAR2Anti-CD38CAR-T	
PBF-1129	
SGN-CD48A	
CC-92480	
pembrolizumabMK-3475	
Autologousanti-BCMAKITE-585	
ZIO-101Darinaparsin	
PT-112	
BFCR4350A	
bb21217	
PF-06863135	
DARA	
Regimen	
PDR001	
PDR001	
PDR001	
PDR001	
CJM112	
LCL161	
LCL161	
LCL161	
LCL161	
RO6870810	
CKD-581	
Gastro-Retentive	
Daratumumabmg/kg	
GMI-1271	
Durvalumab	ANTINEOPLASTIC,OTHER|Programmed Death Ligand-1-directed Antibody Interactions|Monoclonal antibodies|Programmed Death Ligand-1 Antagonists|Programmed Death Ligand-1 Blocker
DaratumumabSubcutaneous	
Isatuximab	
isatuximabSAR650984	
JNJ-54767414Daratumumab	
AtezolizumabMPDL3280Aanti-PD-L1antibody	
MK-0752DocetaxelPegfilgrastim	
ACY-241	
Carfilzomib	Proteasome Inhibitors|Other antineoplastic agents|Proteasome Inhibitor|ANTINEOPLASTIC,OTHER
Carfilzomib	Proteasome Inhibitors|Other antineoplastic agents|Proteasome Inhibitor|ANTINEOPLASTIC,OTHER
IsatuximabSAR650984	
I-131-CLR1404	
Lirilumab	
Urelumab	
acalabrutinib	Kinase Inhibitor|Tyrosine Kinase Inhibitors|ANTINEOPLASTIC,OTHER
acalabrutinib	Kinase Inhibitor|Tyrosine Kinase Inhibitors|ANTINEOPLASTIC,OTHER
LGH447	
LGH447	
LGH447	
LGH447	
BYL719	
BYL719	
BYL719	
BYL719	
Plitidepsin	
Carfilzomib	Proteasome Inhibitors|Other antineoplastic agents|Proteasome Inhibitor|ANTINEOPLASTIC,OTHER
Carfilzomib	Proteasome Inhibitors|Other antineoplastic agents|Proteasome Inhibitor|ANTINEOPLASTIC,OTHER
Oprozomib	
Carfilzomib	Proteasome Inhibitors|Other antineoplastic agents|Proteasome Inhibitor|ANTINEOPLASTIC,OTHER
Carfilzomib	Proteasome Inhibitors|Other antineoplastic agents|Proteasome Inhibitor|ANTINEOPLASTIC,OTHER
Carfilzomib	Proteasome Inhibitors|Other antineoplastic agents|Proteasome Inhibitor|ANTINEOPLASTIC,OTHER
Carfilzomib	Proteasome Inhibitors|Other antineoplastic agents|Proteasome Inhibitor|ANTINEOPLASTIC,OTHER
SST0001Roneparstat	
HSV1716Intra-pleural	
isatuximabSAR650984	
Tabalumab	
CP-751,871	
JNJ-2641585VELCADEDexamethasone	
LGH447	
LGH447	
LGH447	
LGH447	
DFRF4539A	
JNS002	
Anti-CXCR4BMS-936564	
BMS-901608Elotuzumab	
BMS-901608Elotuzumab	
AVE1642	
AVE1642	
AVE1642	
YH25448	
MFGR1877S	
BI-505	
JNJ-26866138mg/m2	
JNJ-26866138mg/m2	
JNJ-26866138mg/m2	
SPARC147709	
Reference147709	
ENMD-2076	
ENMD-2076	
ENMD-2076	
ENMD-2076	
ENMD-2076	
ENMD-2076	
Avelumab	ANTINEOPLASTIC,OTHER|Programmed Death Ligand-1-directed Antibody Interactions|Monoclonal antibodies|Programmed Death Ligand-1 Antagonists|Programmed Death Ligand-1 Blocker
ImetelstatSodiumGRN163L	
Comparator	
Comparator	
Comparator	
JX-594	
JX-594	
Carfilzomib	Proteasome Inhibitors|Other antineoplastic agents|Proteasome Inhibitor|ANTINEOPLASTIC,OTHER
Carfilzomib	Proteasome Inhibitors|Other antineoplastic agents|Proteasome Inhibitor|ANTINEOPLASTIC,OTHER
ImetelstatSodiumGRN163L	
DasatinibLenalidomideDexamethasone	
DasatinibLenalidomideDexamethasone	
DasatinibLenalidomideDexamethasone	
DasatinibLenalidomideDexamethasone	
DasatinibLenalidomideDexamethasone	
Anti-KIR	
Vinflunine	
Perifosine	
Perifosine	
IntravenousMannose-BindingLectinrhMBL	
MBC-11	
HCD122	
OxycodoneOxyNorm®	
Investigational	
BKM120	
BKM120	
JCARH125	
ACY-1215Ricolinostatpomalidomidedexamethasone	
Selumetinib	
ST266	
AT7519M	
AT7519M	
AT7519M	
bendamustinelenalidomide	
BL-NHL	
BLR-CLL	
BLR-NHL	
quizartinib	
Polio/RhinovirusPVSRIPO	
Nab-PaclitaxelAbraxane	
rQNestin	
Ultratraceiobenguane	
RegorafenibStivargaBAY73-4506	
CarfilzomibDexamethasone	
isatuximabSAR650984	
cemiplimabREGN2810	
BT062intravenous	
PTX-9908	
X4P-001	
BT062	
L19TNF	
LJM716	
BYL719	
BYL719	
BYL719	
BYL719	
VELCADEbortezomib	
Revlimidlenalidomide	
Carfilzomib	Proteasome Inhibitors|Other antineoplastic agents|Proteasome Inhibitor|ANTINEOPLASTIC,OTHER
Carfilzomib	Proteasome Inhibitors|Other antineoplastic agents|Proteasome Inhibitor|ANTINEOPLASTIC,OTHER
MEDI0562	
MEDI0562	
CCT301-38	
CCT301-59	
APO010	
PolatuzumabVedotin	
PI-88	
PI-88	
autologousdendritic	
BCX-1777	
BCX-1777	
BCX-1777	
IO102	
pembrolizumabKeytruda	
CarboplatinCarboplatinKabi	
PemetrexedPemetrexedAlvogen	
Carfilzomib	Proteasome Inhibitors|Other antineoplastic agents|Proteasome Inhibitor|ANTINEOPLASTIC,OTHER
Carfilzomib	Proteasome Inhibitors|Other antineoplastic agents|Proteasome Inhibitor|ANTINEOPLASTIC,OTHER
GranulocyteColony-Stimulating	
CAR-BCMA	
IM21	
LCAR-B4822MCAR-TImmunotherapy	
CAR-TRe-treatment	
BCMAnanobodyCAR-T	
BCMAhuCART19	
BCMABCMAhuCART19	
Single-doseBCMABCMAhuCART19	
Selinexor	
EGFRt/BCMA-41BBz	
AutologousDNP-modifiedvaccineM-Vax	
AutologousDNP-ModifiedMelanomaVaccine	
AutologousDNP-ModifiedVaccine	
LDE225	
LDE225	
G-CSF	BLOOD FORMATION PRODUCTS|Receptor Protein Kinase Interactions|Colony stimulating factors|Leukocyte Growth Factor|Receptor Activity Modifying Protein Agonists
HyperAcute-MelanomaVaccine	
chemotherapy	
Polatuzumabvedotin	
Polatuzumabvedotin	
MT-3724	
MT-3724	
Lipovaxin-MM	
Prophylaxis	
