cleaned_up_drug,class_drug_info,class_umls
Zevalin-BuCyE,,
Tiuxetan,,
Elsamitrusin,,
89Zirconium-labeled,,
Doxorubin,,
pp65-LAMP,,
mRNA-pulsed,,
111In-labeled,,
HIV-Gag,,
BRAF,,
Fotemustine,Antineoplastic Agents|Drug / Therapeutic Agent|Mutation Data,
Definity,Contrast Media|Diagnostic Uses of Chemicals,
Dactinomycin,"Antibiotics, Antineoplastic|Drug / Therapeutic Agent|Human Data|Mutation Data|Natural Product|Nucleic Acid Synthesis Inhibitors|Protein Synthesis Inhibitors|Reproductive Effect|Skin / Eye Irritant|Tumor Data|Anti-Bacterial Agents|Anti-Infective Agents|Antineoplastic Agents|Enzyme Inhibitors",
HDIL-2,,
AZD4017,,
Etirinotecan,,
Propranolol,Adrenergic beta-Antagonists|Anti-Arrhythmia Agents|Antihypertensive Agents|Drug / Therapeutic Agent|Human Data|Mutation Data|Reproductive Effect|Vasodilator Agents|Adrenergic Agents|Adrenergic Antagonists|Cardiovascular Agents|Neurotransmitter Agents,
Anti-CTLA4,"Antineoplastic Agents|Antineoplastic Agents, Immunological",
ZK-EPO,Antineoplastic Agents,
4-peptide,,
Ontak,Antineoplastic Agents,
Ontak,,
ontak,Antineoplastic Agents,
ontak,,
bupivacaine,"Anesthetics, Local|Drug / Therapeutic Agent|Human Data|Reproductive Effect|Anesthetics|Central Nervous System Agents|Central Nervous System Depressants|Peripheral Nervous System Agents|Sensory System Agents",
Nifurtimox,Drug / Therapeutic Agent|Mutation Data|Reproductive Effect|Tumor Data|Anti-Infective Agents|Antiparasitic Agents|Antiprotozoal Agents|Trypanocidal Agents,
abexinostat,Enzyme Inhibitors|Histone Deacetylase Inhibitors,
VT-EBV-N,,
tisagenlecleucel,,
HS006+CHOP,,
Rituximab+CHOP,,
CD11301,,
CD24Fc,,
GemOx,,
NM-IL-12,,
TSEBT,,
Fenretinide,Anticarcinogenic Agents|Antineoplastic Agents|Drug / Therapeutic Agent|Human Data|Mutation Data|Reproductive Effect|Protective Agents,
ABT199,Antineoplastic Agents,
Oncoquest-L,,
chlorambucil,"Antineoplastic Agents, Alkylating|Drug / Therapeutic Agent|Human Data|Mutation Data|Reproductive Effect|Tumor Data|Alkylating Agents|Antineoplastic Agents|Noxae",
GSK1841157,Antineoplastic Agents,
Estrogens/Bazedoxifene,,
Lupron,Reproductive Effect,
VCAP/AMP/VECP,,
mLSG15,,
bafetinib,Enzyme Inhibitors|Protein Kinase Inhibitors,
vial,,
Aplidin®,,
A-dmDT390-bisFv,,
UCHT1,,
SY-1425,,
tamibarotene,,
arginase,TSCA Flag XU (Exempt from Reporting under Chemical Data Reporting Rule),
Forodesine,,
alvocidib,Antineoplastic|Cyclin-Dependent Kinase (CDK) Inhibitors|Antineoplastic Agents|Growth Inhibitors|Kinase Inhibitors,
alvocidib,Antineoplastic Agents|Enzyme Inhibitors|Growth Inhibitors|Growth Substances|Protein Kinase Inhibitors,
Glasdegib,,
CPOP-R,,
CHOP-R,,
Nipent,Drug / Therapeutic Agent|Enzyme Inhibitors|Human Data|Reproductive Effect|Antineoplastic Agents|Adenosine Deaminase Inhibitors,
Potassium,,
Iodide,,
depsipeptide,,
Elsamitrucin,"Antibiotics, Antineoplastic|Drug / Therapeutic Agent|Antineoplastic Agents",
Sotatercept,,
tumor-derived,,
nelarabine,Antineoplastic,
anti-CD30,,
pentostatin,Drug / Therapeutic Agent|Enzyme Inhibitors|Human Data|Reproductive Effect|Antineoplastic Agents|Adenosine Deaminase Inhibitors,
Dalfampridine,"Acaricide|Agricultural Chemical|Avicide|Human Data|Insect Attractant, Repellent and Chemosterilant|Cardiovascular Agents|Membrane Transport Modulators|Potassium Channel Blockers",
resminostat,,
Emapalumab-Lzsg,,
Mitoguazone,Antineoplastic Agents|Drug / Therapeutic Agent|Enzyme Inhibitors|Mutation Data|Reproductive Effect,
MDX-060,,
Timolol,Adrenergic beta-Antagonists|Anti-Arrhythmia Agents|Antihypertensive Agents|Adrenergic Agents|Adrenergic Antagonists|Cardiovascular Agents|Neurotransmitter Agents,
Timolol,Adrenergic Agents|Adrenergic Antagonists|Adrenergic beta-Antagonists|Anti-Arrhythmia Agents|Antihypertensive Agents|Cardiovascular Agents|Neurotransmitter Agents,
MOR208,,
Mechlorethamine,"Alkylating Agents|Antineoplastic Agents, Alkylating|Chemical Warfare Agents|Drug / Therapeutic Agent|Human Data|Irritants|Mutation Data|Reproductive Effect|Skin / Eye Irritant|Tumor Data|Blister Agent|Antineoplastic Agents|Noxae|Poisons|Riot Control Agents, Chemical",
mechlorethamine-MCH,,
nitrogen,,
IBI305,,
Alfa-2a,,
PD-L2,,
cabiralizumab,,
Siroquine,,
R-CHOEP,,
Gazyva,"Antineoplastic Agents|Antineoplastic Agents, Immunological",
Lenali,,
Ibrutinib-RICE,,
IBRUTINIB,Antineoplastic Agents,
HIDAC,,
Diphtheria,,
Toxoid/Tetanus,,
Toxoid/Acellular,,
Pertussis,,
Adsorbed,,
Pneumococcal,,
13-valent,,
O-ICE,,
ABR-217620/naptumomab,,
IFN-alpha,,
IFN-alpha,Human Data,
R-CHOEP14x6+HD-AraC+HD-Mtx,,
Reduced_intensity,,
Ofatumumab/HDMP,,
Methoxsalen,Drug / Therapeutic Agent|Mutation Data|Photosensitizing Agents|Reproductive Effect|Tumor Data|Cross-Linking Reagents|Dermatologic Agents|Indicators and Reagents|Radiation-Sensitizing Agents,
ESHAP,,
R-EPOCH,,
ZBEAM,,
Aracytine,,
mechlorethamine,"Alkylating Agents|Antineoplastic Agents, Alkylating|Chemical Warfare Agents|Drug / Therapeutic Agent|Human Data|Irritants|Mutation Data|Reproductive Effect|Skin / Eye Irritant|Tumor Data|Blister Agent|Antineoplastic Agents|Noxae|Poisons|Riot Control Agents, Chemical",
Interferon-2A,,
Velban,Drug / Therapeutic Agent|Human Data|Mutation Data|Reproductive Effect|Tumor Data,
Adriblastin,"Antineoplastic Agents|Drug / Therapeutic Agent|Human Data|Mutation Data|Natural Product|Reproductive Effect|Skin / Eye Irritant|Tumor Data|Antibiotics, Antineoplastic|Enzyme Inhibitors|Topoisomerase II Inhibitors|Topoisomerase Inhibitors",
Adriblastin,Drug / Therapeutic Agent|Human Data|Mutation Data|Reproductive Effect|Tumor Data,
alkeran,"Antineoplastic Agents, Alkylating|Drug / Therapeutic Agent|Human Data|Mutation Data|Reproductive Effect|Skin / Eye Irritant|Tumor Data|Alkylating Agents|Antineoplastic Agents|Immunologic Factors|Immunosuppressive Agents|Myeloablative Agonists|Noxae",
alkeran,Human Data|Tumor Data,
CAMPTH-1H,,
Doxorubicine,"Antineoplastic Agents|Drug / Therapeutic Agent|Human Data|Mutation Data|Natural Product|Reproductive Effect|Skin / Eye Irritant|Tumor Data|Antibiotics, Antineoplastic|Enzyme Inhibitors|Topoisomerase II Inhibitors|Topoisomerase Inhibitors",
ACVBP,,
Vindesine,"Antineoplastic Agents, Phytogenic|Mutation Data|Antimitotic Agents|Antineoplastic Agents|Mitosis Modulators|Tubulin Modulators",
Yttrium-ibritumomab,,
DexaBEAM,,
5-aza,,
SC-PEG,,
Oncaspar,Antineoplastic Agents,
Talacotuzumab,,
AZACITIDINE,"Antimetabolites, Antineoplastic|Drug / Therapeutic Agent|Enzyme Inhibitors|Human Data|Mutation Data|Reproductive Effect|Skin / Eye Irritant|Tumor Data|Antimetabolites|Antineoplastic Agents|Noxae",
pracinostat,,
I+VEN,,
keyhole,,
hemocyanin,,
cell-based,,
VINORELBINE,"Antineoplastic Agents, Phytogenic|Drug / Therapeutic Agent|Antineoplastic Agents|Antimitotic Agents|Tubulin Modulators",
PALO,,
CC-1088,,
HDMP,,
propionate,,
2-CdA,Antineoplastic Agents|Drug / Therapeutic Agent|Human Data|Immunosuppressive Agents|Mutation Data|Reproductive Effect|Immunologic Factors,
2-CdA,"Antimetabolites, Antineoplastic|Antimetabolites|Antineoplastic Agents|Noxae",
PVX-2,,
Letermovir,,
anti-GD2,,
Ciprofloxacin,Drug / Therapeutic Agent|Human Data|Mutation Data|Anti-Infective Agents|Enzyme Inhibitors|Nucleic Acid Synthesis Inhibitors|Anti-Bacterial Agents|Antineoplastic Agents|Cytochrome P-450 CYP1A2 Inhibitors|Cytochrome P-450 Enzyme Inhibitors|Topoisomerase II Inhibitors|Topoisomerase Inhibitors|Metabolic Side Effects of Drugs and Substances,
procarbazine,Antineoplastic Agents|Drug / Therapeutic Agent|Mutation Data|Reproductive Effect|Tumor Data,
LIK066,,
AZD4901,,
nucleic,,
deferasirox,Iron Chelator|Chelating Agent|Chelating Agents|Iron Chelating Agents|Sequestering Agents,
Cytomegalovirus,,
Gemcitabine-Oxaliplatin,,
R-GEMOX,,
DFD05,,
Active01,,
DPCP,,
2014-ALC-919-US,,
Vehicle-Control,,
CANDIN,,
VIR007,,
Erwinase®,,
Immunochemotherapy,,
metformin,Drug / Therapeutic Agent|Hypoglycemic Agents|Mutation Data|Reproductive Effect,
exenatide,"Antidiabetic|GLP-1 Receptor Agonist|Hypoglycemic Agents|Incretins|Hormones, Hormone Substitutes, and Hormone Antagonists|Hormone Antagonists|Hormones|Anti-Obesity Agents",
PEGASYS,Antiviral Agents|Anti-Infective Agents,
abacavir/3TC/zidovudine,,
abacavir,Nucleoside Reverse Transcriptase|Antiretroviral,
/3TC,,
ritonavir,Protease Inhibitor|Antiretroviral|Anti-HIV Agents|Anti-Infective Agents|Anti-Retroviral Agents|Antiviral Agents|Enzyme Inhibitors|HIV Protease Inhibitors|Protease Inhibitors|Cytochrome P-450 CYP3A Inhibitors|Cytochrome P-450 Enzyme Inhibitors|Metabolic Side Effects of Drugs and Substances,
lopinavir,Antiviral|Anti-HIV Agents|Anti-Infective Agents|Anti-Retroviral Agents|Antiviral Agents|Enzyme Inhibitors|HIV Protease Inhibitors|Protease Inhibitors|Cytochrome P-450 CYP3A Inhibitors|Cytochrome P-450 Enzyme Inhibitors|Metabolic Side Effects of Drugs and Substances,
D-chiro-inositol,,
Myoinositol,Drug / Therapeutic Agent|Growth Substances|Micronutrients|Vitamin B Complex|Vitamins|To Increase Survival and Prevent the Need for Surgical Intervention in Late Stage Retinopathy of Prematurity (ROP),
Mifamurtide,"Adjuvants, Immunologic|Immunologic Factors",
Linsitinib,,
Progesterone,"Drug / Therapeutic Agent|Hormone|Human Data|Mutation Data|Reproductive Effect|Tumor Data|Hormones|Hormones, Hormone Substitutes, and Hormone Antagonists|Progestins",
Vaginal,,
R-DHAP,,
BR-DHAP,,
6-MP,"Antimetabolites|Antimetabolites, Antineoplastic|Drug / Therapeutic Agent|Human Data|Immunosuppressive Agents|Mutation Data|Nucleic Acid Synthesis Inhibitors|Reproductive Effect|Tumor Data|Antineoplastic Agents|Enzyme Inhibitors|Immunologic Factors|Noxae",
Armodafinil,Central Nervous System Agents|Central Nervous System Stimulants|Wakefulness-Promoting Agents,
RiBVD,,
Temodal,"Antineoplastic Agents, Alkylating|Drug / Therapeutic Agent|Mutation Data|Alkylating Agents|Antineoplastic Agents|Noxae",
Temodal/radiotherapy,,
Bosulif,Antineoplastic (Src Kinase Inhibitor)|Antineoplastic Agents,
Bosulif,Antineoplastic Agents,
ABIRATERONE,,
S-1/Cisplatin,,
5-FU/cisplatin,,
Nanosomal,,
Ado-trastuzumab,,
Hexaminolevulinate,,
TAS-118,,
Prednisone/Prednisolone,,
Docetaxel/Paclitaxel,,
Carboplatin+Paclitaxel,,
anastrazole,"Antineoplastic Agents, Hormonal|Drug / Therapeutic Agent|Enzyme Inhibitors|Aromatase Inhibitors|Antineoplastic Agents|Estrogen Antagonists|Hormone Antagonists|Hormones, Hormone Substitutes, and Hormone Antagonists|Steroid Synthesis Inhibitors",
Arimidex®,,
Calmangafodipir,,
Tanezumab,Analgesics|Central Nervous System Agents|Peripheral Nervous System Agents|Sensory System Agents,
Prasterone,"Adjuvants, Immunologic|Hormone|Human Data|Mutation Data|Reproductive Effect|Tumor Data|Immunologic Factors",
DHEA,"Adjuvants, Immunologic|Hormone|Human Data|Mutation Data|Reproductive Effect|Tumor Data|Immunologic Factors",
Sulijia,,
REGN2810/chemo/ipi,,
MIL60,,
REGN2810/ipi,,
RPR116258,,
Physician's-Choice,,
ECDG,,
Ethylenedicysteine-Deoxyglucose,,
uracil,Mutation Data|Reproductive Effect|Tumor Data,
tegafur,"Antimetabolites, Antineoplastic|Drug / Therapeutic Agent|Human Data|Mutation Data|Reproductive Effect|Tumor Data|Antimetabolites|Antineoplastic Agents|Noxae",
THERATOPE,,
STn-KLH,,
MetMab,,
NK105,"Antineoplastic Agents, Phytogenic|Drug / Therapeutic Agent|Human Data|Reproductive Effect|Antimitotic Agents|Antineoplastic Agents|Mitosis Modulators|Tubulin Modulators",
Pamrevlumab,,
ProstAtak®,,
Piperacillin/Tazobactam,,
Piperacillin/Tazobactam,Anti-Bacterial Agents|Anti-Infective Agents|Enzyme Inhibitors|beta-Lactamase Inhibitors,
Piperacillin/Tazobactam,Drug / Therapeutic Agent|Reproductive Effect,
Tazocin,,
Tazocin,Anti-Bacterial Agents|Anti-Infective Agents|Enzyme Inhibitors|beta-Lactamase Inhibitors,
Decapeptyl®,,
14-day,,
triptorelin,"Antineoplastic Agents, Hormonal|Luteolytic Agents|Antineoplastic Agents|Contraceptive Agents|Contraceptive Agents, Female|Reproductive Control Agents",
embonate,,
LY353381,,
BAY73-,"Agricultural Chemical|Insect Attractant, Repellent and Chemosterilant|Molluscicide|Reproductive Effect|Tumor Data",
HyperAcute-Pancreas,,
endocrine-modulating,,
Rivaroxaban,Anticoagulants|Hematologic Agents|Antithrombins|Enzyme Inhibitors|Factor Xa Inhibitors|Protease Inhibitors|Serine Proteinase Inhibitors,
Larotaxel,,
levo-,,
11C-choline,,
Radioactive,,
Hexvix,,
SAR390530,,
LightPath®,,
68Ga-RM2,,
ZD9393,,
Abarelix,"Hormone Antagonists|Hormones, Hormone Substitutes, and Hormone Antagonists",
Cisplatin/Gemcitabine,,
Pemetrexed/Cisplatin,,
Pemetrexed/Carboplatin,,
Nasalfent,,
trastuzuamb,,
marimastat,Enzyme Inhibitors,
MYL-,,
EG12014,,
Cisplatin/,,
Carboplatin/,,
Pemetrexed/,,
RPR109881,,
hCRF,,
Nissle,,
HLX02,,
HD201,,
UTD1,,
Paraplatin®,,
Trastuzumab-EU,,
pegcyte,,
Neulastim,,
Non-steroidal,,
aromatase,,
64Cu-DOTATATE,,
Prednisone/prednisolone,,
Neo-adjuvant,,
GEMZAR,"Reproductive Effect|Anti-Infective Agents|Antimetabolites|Antimetabolites, Antineoplastic|Antineoplastic Agents|Antiviral Agents|Enzyme Inhibitors|Immunologic Factors|Immunosuppressive Agents|Noxae|Radiation-Sensitizing Agents",
GP-Pharm,,
vic-,,
duocarmazine,,
HYCAMTIN,,
HYCAMTIN,Antineoplastic Agents|Enzyme Inhibitors|Antineoplastic|Topoisomerase I Inhibitors|Topoisomerase Inhibitors,
faslodex,"Antineoplastic Agents|Estrogen Antagonists|Antineoplastic Agents, Hormonal|Estrogen Receptor Modulators|Hormone Antagonists|Hormones, Hormone Substitutes, and Hormone Antagonists|Estrogen Receptor Antagonists",
arimidex,"Antineoplastic Agents, Hormonal|Drug / Therapeutic Agent|Enzyme Inhibitors|Aromatase Inhibitors|Antineoplastic Agents|Estrogen Antagonists|Hormone Antagonists|Hormones, Hormone Substitutes, and Hormone Antagonists|Steroid Synthesis Inhibitors",
Dose-dense,,
dose-dense,,
adagloxad,,
simolenin,,
OBI-821,,
Phosphate-buffered,,
porfiromycin,"Antibiotics, Antineoplastic|Drug / Therapeutic Agent|Human Data|Mutation Data|Antineoplastic Agents",
SR259075,,
20-minute,,
farletuzumab,Antineoplastic Agents,
177Lu-PSMA-617,,
tibolone,"Antineoplastic Agents, Hormonal|Anabolic Agents|Androgen Antagonists|Antihypertensive Agents|Antineoplastic Agents|Cardiovascular Agents|Estrogen Receptor Modulators|Hormone Antagonists|Hormones|Hormones, Hormone Substitutes, and Hormone Antagonists",
MODAFINIL,Central Nervous System Stimulants|Central Nervous System Agents|Neuroprotective Agents|Protective Agents|Cytochrome P-450 CYP3A Inducers|Wakefulness-Promoting Agents|Metabolic Side Effects of Drugs and Substances,
Dostarlimab,,
Carboplatin-paclitaxel,,
ASP-1929,,
SIBP-01,,
Taxane-based,,
Peg-Filgrastim,Antineoplastic Agents|Pegylated Protein,
sublingual,,
epidoxorubicine,,
ciclophosphamide,"Agricultural Chemical|Alkylating Agents|Antineoplastic Agents, Alkylating|Antirheumatic Agents|Drug / Therapeutic Agent|Experimental Pesticide|Human Data|Immunosuppressive Agents|Mutagens|Mutation Data|Reproductive Effect|Tumor Data|Unspecified / Unclassified Pesticide|Antineoplastic Agents|Immunologic Factors|Myeloablative Agonists|Noxae",
fluorouracile,"Antimetabolites|Antimetabolites, Antineoplastic|Drug / Therapeutic Agent|Human Data|Immunosuppressive Agents|Mutation Data|Reproductive Effect|Skin / Eye Irritant|Tumor Data|Antineoplastic Agents|Immunologic Factors|Noxae",
Normale,,
histrelin,Natural Product|Reproductive Effect|Antineoplastic Agents,
Z-100,"Drug / Therapeutic Agent|Adjuvants, Immunologic|Antineoplastic Agents|Immunologic Factors",
Z-100,"Adjuvants, Immunologic|Antineoplastic Agents|Immunologic Factors",
zoptarelin,,
"docetaxel,0xaliplatin",,
#NAME?,,
Arfolitixorin,,
TAP-144-SR,Reproductive Effect,
2-tetrahydrofuryl,,
#NAME?,"Antimetabolites|Antimetabolites, Antineoplastic|Drug / Therapeutic Agent|Human Data|Immunosuppressive Agents|Mutation Data|Reproductive Effect|Skin / Eye Irritant|Tumor Data|Antineoplastic Agents|Immunologic Factors|Noxae",
CDHP,,
Gemeracil,,
Oteracil,,
Buprenorphine,"Analgesics, Opioid|Human Data|Narcotic Antagonists|Narcotics|Analgesics|Central Nervous System Agents|Central Nervous System Depressants|Peripheral Nervous System Agents|Sensory System Agents",
Sustained-Release,,
Paclical®,,
Taxol®,,
Nadroparin,Anticoagulants|Drug / Therapeutic Agent|Fibrinolytic Agents|Human Data|Mutation Data|Natural Product|Reproductive Effect|Cardiovascular Agents|Fibrin Modulating Agents|Hematologic Agents,
Uridine,Drug / Therapeutic Agent|Mutation Data|Natural Product,
5'-Triphosphate,,
HD204,,
FOLFIRI-3,,
OncoVAX,,
NeuVax,,
Leukine®,,
rofecoxib,"Anti-Inflammatory Agents, Non-Steroidal|Cyclooxygenase Inhibitors|Analgesics|Analgesics, Non-Narcotic|Anti-Inflammatory Agents|Cyclooxygenase 2 Inhibitors|Enzyme Inhibitors|Peripheral Nervous System Agents|Sensory System Agents|Antirheumatic Agents",
Calmette-Guerin,,
TAXOTERE®,,
ELIGARD®,,
Nirapairb,,
FOLFIRI-cetuximab,,
mFOLFOX6-bevacizumab,,
OPTIMOX-bevacizumab,,
irinotecan-based,,
chemo,,
DWJ1319,,
GW-2000-02,,
Fluoropyrimidine-based,,
Thyrogen,Thyroid Hormone,
thyrotropin,Drug / Therapeutic Agent|Hormone|Reproductive Effect,
Tetrodotoxin,"Natural Product|Anesthetics|Anesthetics, Local|Cardiovascular Agents|Central Nervous System Agents|Central Nervous System Depressants|Membrane Transport Modulators|Noxae|Peripheral Nervous System Agents|Poisons|Sensory System Agents|Sodium Channel Blockers",
hydrocloride,,
ETOPOSIDE,"Antineoplastic Agents, Phytogenic|Drug / Therapeutic Agent|Human Data|Mutation Data|Reproductive Effect|DNA Topoisomerase II Inhibitors|Antineoplastic Agents|Enzyme Inhibitors|Topoisomerase II Inhibitors|Topoisomerase Inhibitors",
Histrelin,Natural Product|Reproductive Effect|Antineoplastic Agents,
hydrogel,TSCA Flag XU (Exempt from Reporting under Chemical Data Reporting Rule),
/Cisplatin,,
bemarituzumab,,
Talactoferrin,Antineoplastic Agents,
topotecan/cisplatin,,
Isovorin,,
Ibandronate,Bone Density Conservation Agents,
Docetaxel/DDP,,
docetaxel/gemcitabine,,
Paxlitaxel,,
Nab-paxlitaxel,,
cyproterone,"Androgen Antagonists|Hormone|Reproductive Effect|Hormone Antagonists|Hormones, Hormone Substitutes, and Hormone Antagonists",
MB02,,
EU-approved,,
SCT510,,
BAT1706,,
nirapairb,,
Ixempra,Antineoplastic|Antineoplastic Agents,
BSoC,,
Lymphoseek,,
triacetyluridine,,
Eurofarma,,
Granulokine,Drug / Therapeutic Agent|Human Data|Natural Product|Hematologic Agents,
Amgen,,
QL1101,,
S95005,,
LMIS,,
virus-like,,
particle/AS04,,
hepatitis,,
LY01008,,
Efaproxiral,Antisickling Agents|Hematologic Agents|Radiation-Sensitizing Agents,
Efaproxiral,,
leuprorelin,"Antineoplastic Agents, Hormonal|Fertility Agents, Female|Hormone|Human Data|Reproductive Effect|Antineoplastic Agents|Fertility Agents|Reproductive Control Agents",
Etoposide-Cisplatin,,
LA-EP2006,,
SPY-PHI,,
Gadobutrol,Contrast Media|Diagnostic Uses of Chemicals,
Gadavist,Contrast Media|Diagnostic Uses of Chemicals,
Gadovist,Contrast Media|Diagnostic Uses of Chemicals,
BAY86-4875,,
sulphate,,
Systemic,,
tamsulosin,Adrenergic alpha-Antagonists|Adrenergic Agents|Adrenergic Antagonists|Neurotransmitter Agents,
tamsulosin,Adrenergic alpha-Antagonists|Adrenergic Agents|Adrenergic Antagonists|Antineoplastic Agents|Neurotransmitter Agents|Adrenergic alpha-1 Receptor Antagonists|Urological Agents,
atamestane,Enzyme Inhibitors,
toremifene,"Antineoplastic Agents, Hormonal|Drug / Therapeutic Agent|Mutation Data|Reproductive Effect|Tumor Data|Antineoplastic Agents|Bone Density Conservation Agents|Estrogen Receptor Modulators|Hormone Antagonists|Hormones, Hormone Substitutes, and Hormone Antagonists|Selective Estrogen Receptor Modulators",
anti-CTLA4,"Antineoplastic Agents|Antineoplastic Agents, Immunological",
BRN01,,
FOLFOX6m,,
TX05,,
Cocculine®,,
Matrifen,"Adjuvants, Anesthesia|Analgesics, Opioid|Anesthetics, Intravenous|Drug / Therapeutic Agent|Human Data|Narcotics|Analgesics|Anesthetics|Anesthetics, General|Central Nervous System Agents|Central Nervous System Depressants|Peripheral Nervous System Agents|Sensory System Agents",
cevimeline,Parasympathomimetics|Autonomic Agents|Cholinergic Agents|Cholinergic Agonists|Muscarinic Agonists|Neurotransmitter Agents|Peripheral Nervous System Agents,
buserelin,"Drug / Therapeutic Agent|Fertility Agents, Female|Hormone|Human Data|Reproductive Effect|Fertility Agents|Reproductive Control Agents",
flutamide,"Androgen Antagonists|Antineoplastic Agents, Hormonal|Drug / Therapeutic Agent|Hormone|Human Data|Mutation Data|Reproductive Effect|Tumor Data|Antineoplastic Agents|Hormone Antagonists|Hormones, Hormone Substitutes, and Hormone Antagonists",
PPP011,,
Virulizin®,,
nolatrexed,"Antimetabolites|Antimetabolites, Antineoplastic|Antineoplastic Agents|Enzyme Inhibitors|Folic Acid Antagonists|Noxae",
dihydrochloride,Tumor Data,
Docetaxel/Taxotere,,
Anastozole,,
Nolvadex,"Antineoplastic Agents, Hormonal|Drug / Therapeutic Agent|Estrogen Antagonists|Human Data|Mutation Data|Reproductive Effect|Tumor Data|Antineoplastic Agents|Bone Density Conservation Agents|Estrogen Receptor Modulators|Hormone Antagonists|Hormones, Hormone Substitutes, and Hormone Antagonists|Selective Estrogen Receptor Modulators",
Nolvadex,"Drug / Therapeutic Agent|Human Data|Mutation Data|Reproductive Effect|Tumor Data|Antineoplastic Agents|Selective Estrogen Receptor Modulators|Antineoplastic Agents, Hormonal|Bone Density Conservation Agents|Estrogen Antagonists|Estrogen Receptor Modulators|Hormone Antagonists|Hormones, Hormone Substitutes, and Hormone Antagonists",
SID530,Antineoplastic Agents|Drug / Therapeutic Agent|Antimitotic Agents|Mitosis Modulators|Tubulin Modulators,
177Lu-edotreotide,,
PRRT,,
cisplatinum,Antineoplastic Agents|Cross-Linking Reagents|Drug / Therapeutic Agent|Human Data|Mutation Data|Radiation-Sensitizing Agents|Reproductive Effect|Tumor Data|Indicators and Reagents,
e.g.etoposide,,
e.g.etoposide+enoxaparin,,
Toremifene,"Antineoplastic Agents, Hormonal|Drug / Therapeutic Agent|Mutation Data|Reproductive Effect|Tumor Data|Antineoplastic Agents|Bone Density Conservation Agents|Estrogen Receptor Modulators|Hormone Antagonists|Hormones, Hormone Substitutes, and Hormone Antagonists|Selective Estrogen Receptor Modulators",
girentuximab,,
MYL-1401H,,
ARIMIDEX,"Antineoplastic Agents, Hormonal|Drug / Therapeutic Agent|Enzyme Inhibitors|Aromatase Inhibitors|Antineoplastic Agents|Estrogen Antagonists|Hormone Antagonists|Hormones, Hormone Substitutes, and Hormone Antagonists|Steroid Synthesis Inhibitors",
NOLVADEX,"Antineoplastic Agents, Hormonal|Drug / Therapeutic Agent|Estrogen Antagonists|Human Data|Mutation Data|Reproductive Effect|Tumor Data|Antineoplastic Agents|Bone Density Conservation Agents|Estrogen Receptor Modulators|Hormone Antagonists|Hormones, Hormone Substitutes, and Hormone Antagonists|Selective Estrogen Receptor Modulators",
NOLVADEX,"Drug / Therapeutic Agent|Human Data|Mutation Data|Reproductive Effect|Tumor Data|Antineoplastic Agents|Selective Estrogen Receptor Modulators|Antineoplastic Agents, Hormonal|Bone Density Conservation Agents|Estrogen Antagonists|Estrogen Receptor Modulators|Hormone Antagonists|Hormones, Hormone Substitutes, and Hormone Antagonists",
risedronate,Calcium Channel Blockers|Bone Density Conservation Agents|Cardiovascular Agents|Membrane Transport Modulators|Calcium-Regulating Hormones and Agents,
Qapzola,Drug / Therapeutic Agent|Antineoplastic Agents,
XELOXA,,
XELOXA-A,,
pre-,,
post-medication,,
Nanoxel®M,,
BEMA,,
BNP7787,,
BEMA,,
SPARC1507,,
Reference1507,,
Lucanix,,
L-carnitine,Drug / Therapeutic Agent|Natural Product|Antihyperlipoproteinemic|Growth Substances|Micronutrients|Vitamin B Complex|Vitamins,
OraVescent,,
Magnevist,,
Ethypharm,,
Roferon,,
cCRT,,
miFL,,
Lipoxomal,,
Abivertinib,,
Nirogacestat,,
Glutamine,Drug / Therapeutic Agent|Human Data|Mutation Data|Dietary Supplement,
Glutamine,,
Magnesium,,
Transdermal,,
dexpantenol,Drug / Therapeutic Agent|Skin / Eye Irritant,
Bepantol,Drug / Therapeutic Agent|Skin / Eye Irritant,
Capsaicin,Mutation Data|Natural Product|Tumor Data|Antipruritics|Dermatologic Agents|Peripheral Nervous System Agents|Sensory System Agents,
Pregabalin,Anticonvulsant|Anticonvulsants|Analgesics|Central Nervous System Agents|Peripheral Nervous System Agents|Sensory System Agents|Calcium Channel Blockers|Cardiovascular Agents|Membrane Transport Modulators|Anti-Anxiety Agents|Central Nervous System Depressants|Psychotropic Drugs|Tranquilizing Agents|Calcium-Regulating Hormones and Agents,
INFS,,
#NAME?,"Antineoplastic Agents, Phytogenic|Drug / Therapeutic Agent|Antineoplastic Agents|Antimitotic Agents|Tubulin Modulators",
armodafinil,Central Nervous System Agents|Central Nervous System Stimulants|Wakefulness-Promoting Agents,
Injectafer,,
Injectafer,Hematinics|Hematologic Agents,
Bevacizumab-Pfizer,,
Bevacizumab-EU,,
Alendronate,Reproductive Effect|Bone Density Conservation Agents,
Alendronate,Drug / Therapeutic Agent|Human Data|Reproductive Effect,
EP2006,,
fusidic,,
Verutex,,
erythromycin,Drug / Therapeutic Agent|Gastrointestinal Agents|Human Data|Mutation Data|Natural Product|Protein Synthesis Inhibitors|Reproductive Effect|Anti-Bacterial Agents|Anti-Infective Agents|Enzyme Inhibitors,
Eritex,,
Fisiogel,,
Cross-over,,
PTC+Pertuzumab,,
FEC-T+Pertuzumab,,
